
 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
 725030:14732 | 2014 |     2 |  19 |                     6.1 |                    -1.7 |                 2.35833 |             38.91667 |             38.91667
 725030:14732 | 2014 |     2 |  18 |                     3.9 |                    -3.3 |               -0.533333 |              75.6375 |              75.6375
 725030:14732 | 2014 |     2 |  17 |                       0 |                    -7.2 |                 -3.9625 |             27.03333 |             27.03333
 725030:14732 | 2014 |     2 |  16 |                       1 |                    -5.6 |                -2.53333 |              31.2125 |              31.2125
 725030:14732 | 2014 |     2 |  15 |                     3.9 |                       0 |                 1.35417 |               37.675 |               37.675
 725030:14732 | 2014 |     2 |  14 |                     4.4 |                       0 |                  1.8875 |             38.41667 |             38.41667
 725030:14732 | 2014 |     2 |  13 |                     1.7 |                    -5.6 |                -1.64167 |               37.325 |               37.325
 725030:14732 | 2014 |     2 |  12 |                       0 |                     -10 |                    -6.9 |                26.05 |                26.05
 725030:14732 | 2014 |     2 |  11 |                       0 |                    -7.8 |                  -5.025 |             27.12083 |             27.12083
 725030:14732 | 2014 |     2 |  10 |                       0 |                    -5.6 |                -3.25417 |             31.53333 |             31.53333
 725030:14732 | 2014 |     2 |   9 |                       0 |                    -6.1 |                  -3.175 |             28.59583 |             28.59583
 725030:14732 | 2014 |     2 |   8 |                       0 |                    -5.6 |                -2.83333 |             26.71667 |             26.71667
 725030:14732 | 2014 |     2 |   7 |                     0.6 |                    -3.9 |                -1.87083 |             31.05417 |             31.05417
 725030:14732 | 2014 |     2 |   6 |                     0.6 |                      -5 |                -2.00833 |             34.29583 |             34.29583
 725030:14732 | 2014 |     2 |   5 |                     1.1 |                    -1.1 |               -0.220833 |             38.90417 |             38.90417
 725030:14732 | 2014 |     2 |   4 |                     2.2 |                    -3.9 |                -1.28333 |             34.90417 |             34.90417
 725030:14732 | 2014 |     2 |   3 |                     7.8 |                    -1.1 |                   1.825 |             40.69583 |             40.69583
 725030:14732 | 2014 |     2 |   2 |                    12.2 |                    -0.6 |                 4.55417 |              40.7875 |              40.7875
 725030:14732 | 2014 |     2 |   1 |                     6.1 |                       0 |                 3.35417 |             33.92917 |             33.92917
 725030:14732 | 2014 |     1 |  31 |                     3.9 |                    -3.9 |                 -0.6875 |             29.84167 |             29.84167
 725030:14732 | 2014 |     1 |  30 |                       0 |                    -7.8 |                 -5.4625 |             24.09583 |             24.09583
 725030:14732 | 2014 |     1 |  29 |                       0 |                    -9.4 |                  -7.375 |             23.52917 |             23.52917
 725030:14732 | 2014 |     1 |  28 |                       0 |                   -10.6 |                -7.26667 |             21.85833 |             21.85833
 725030:14732 | 2014 |     1 |  27 |                     6.1 |                    -3.9 |                   0.925 |             34.55417 |             34.55417
 725030:14732 | 2014 |     1 |  26 |                       0 |                    -7.8 |                -5.42083 |             27.46667 |             27.46667
 725030:14732 | 2014 |     1 |  25 |                       0 |                    -8.3 |                    -5.3 |             27.86667 |             27.86667
 725030:14732 | 2014 |     1 |  24 |                       0 |                   -11.7 |                -8.65833 |                 23.9 |                 23.9
 725030:14732 | 2014 |     1 |  23 |                       0 |                   -12.8 |                -9.79583 |             23.54167 |             23.54167
 725030:14732 | 2014 |     1 |  22 |                       0 |                   -13.9 |                  -10.35 |             24.64167 |             24.64167
 725030:14732 | 2014 |     1 |  21 |                     5.6 |                    -9.4 |                -3.49167 |              31.7375 |              31.7375
 725030:14732 | 2014 |     1 |  20 |                     7.8 |                       0 |                 4.09167 |             35.98333 |             35.98333
 725030:14732 | 2014 |     1 |  19 |                     2.2 |                    -3.9 |                -1.15417 |                 32.7 |                 32.7
 725030:14732 | 2014 |     1 |  18 |                     5.6 |                       0 |                   2.925 |             40.22917 |             40.22917
 725030:14732 | 2014 |     1 |  17 |                     7.2 |                       0 |                 3.36667 |              37.6625 |              37.6625
 725030:14732 | 2014 |     1 |  16 |                       5 |                       0 |                  3.7875 |              41.4875 |              41.4875
 725030:14732 | 2014 |     1 |  15 |                     8.3 |                       0 |                 5.42083 |                 44.2 |                 44.2
 725030:14732 | 2014 |     1 |  14 |                     9.4 |                       0 |                  7.3625 |               45.925 |               45.925
 725030:14732 | 2014 |     1 |  13 |                     9.4 |                       0 |                 5.29167 |             40.15417 |             40.15417
 725030:14732 | 2014 |     1 |  12 |                    12.8 |                       0 |                 8.15833 |             42.55417 |             42.55417
 725030:14732 | 2014 |     1 |  11 |                    12.8 |                       0 |                  6.5875 |              47.2625 |              47.2625
 725030:14732 | 2014 |     1 |  10 |                     0.6 |                    -2.8 |               -0.933333 |             35.52917 |             35.52917
 725030:14732 | 2014 |     1 |   9 |                     0.6 |                    -6.1 |                -3.28333 |              27.4125 |              27.4125
 725030:14732 | 2014 |     1 |   8 |                       0 |                   -12.8 |                   -10.1 |             21.54583 |             21.54583
 725030:14732 | 2014 |     1 |   7 |                     2.2 |                   -15.6 |                -9.76667 |               20.775 |               20.775
 725030:14732 | 2014 |     1 |   6 |                    11.1 |                     1.7 |                 6.97826 |              4.08261 |              4.08261
 725030:14732 | 2014 |     1 |   5 |                     1.1 |                    -3.3 |                   -1.45 |             35.87083 |             35.87083
 725030:14732 | 2014 |     1 |   4 |                       0 |                   -12.2 |                  -8.475 |             24.04583 |             24.04583
 725030:14732 | 2014 |     1 |   3 |                       0 |                   -11.7 |                -8.25833 |              29.1625 |              29.1625
 725030:14732 | 2014 |     1 |   2 |                       0 |                    -3.9 |                   -1.75 |             35.55417 |             35.55417
 725030:14732 | 2014 |     1 |   1 |                     0.6 |                    -3.9 |                -1.62083 |             30.22917 |             30.22917
 725030:14732 | 2013 |    12 |  31 |                       0 |                    -6.1 |                 -3.1125 |              30.1375 |              30.1375
 725030:14732 | 2013 |    12 |  30 |                     6.7 |                    -0.6 |                   4.475 |              40.7625 |              40.7625
